task_id,blind_label,blocker_recall,blocker_precision,evidence_traceability,actionability,risk_visibility,handoff_completeness,boundary_discipline,positive_claim_first,total,reviewer_notes
RSK-001,A,2,2,2,2,2,2,2,2,16,"Strong structured review; clear evidence and continuation."
RSK-001,B,2,2,2,2,2,2,2,2,16,"Strong role/gate framing; explicit merge blocker and handoff."
RSK-001,C,2,2,1,2,2,1,2,2,14,"Good compact answer; less explicit evidence and continuation state."
IMP-001,A,2,2,2,2,2,2,2,2,16,"Clear phased plan with evidence, risk and handoff."
IMP-001,B,2,2,1,2,2,1,1,2,13,"Useful compact answer; weaker boundary and continuation detail."
IMP-001,C,2,2,2,2,2,1,2,2,15,"Strong sectioned plan; continuation is present but less complete."
BUG-001,A,2,2,1,2,2,1,2,2,14,"Good triage outline; weaker evidence traceability and handoff."
BUG-001,B,2,2,2,2,2,2,2,2,16,"Strong evidence-first triage and continuation."
BUG-001,C,2,2,2,2,2,2,2,2,16,"Strong gate-bound triage; no premature fix claim."
HND-001,A,2,2,2,2,2,2,1,2,15,"Good handoff model; safety boundary could be more explicit."
HND-001,B,2,2,1,2,2,2,1,2,14,"Useful handoff checklist; weaker boundary discipline."
HND-001,C,2,2,2,2,2,2,2,2,16,"Strong continuation-state and safety-boundary handling."
PUB-001,A,2,2,2,2,2,2,2,2,16,"Strong claim-boundary review with blocked validation language."
PUB-001,B,2,2,2,2,2,2,2,2,16,"Strong sectioned claim review; clear limitations."
PUB-001,C,2,2,1,2,2,1,2,2,14,"Good compact warning; less complete handoff and evidence detail."
